scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Balaenoptera physalus,56.4628,-163.3993,2000-06-15T09:26:00,2000,6,15,3,HumanObservation,NMML Bering Sea Cetacean Survey 2000,Fin whale,80,4.61,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.801017,-153.513536,2015-06-24T12:38:02,2015,6,24,1,HumanObservation,Happywhale - Fin whale in North Pacific Ocean,Fin whale,125,6.92,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,58.821442,-146.770393,2013-07-13T20:20:28,2013,7,13,1,HumanObservation,GOALS Vessel Surveys June - July 2013,Fin whale,2133,8.12,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.953982,-152.637286,2021-08-19T12:49:44,2021,8,19,1,HumanObservation,Happywhale - Fin whale in North Pacific Ocean,Fin whale,127,6.63,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,50.7346,-132.5761,2009-07-11,2009,7,11,,HumanObservation,EC-CWS Eastern Canada Seabirds at Sea,Fin Whale,2917,10.28,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,56.930667,-152.6475,2015-08-26T09:23:26,2015,8,26,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Fin whale,147,6.97,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.6281,-153.9389,2007-08-11T08:50,2007,8,11,1,HumanObservation,Happywhale - Fin whale in North Pacific Ocean,Fin whale,97,6.89,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.947802,-143.738552,2013-06-30T13:55:44,2013,6,30,2,HumanObservation,GOALS Vessel Surveys June - July 2013,Fin whale,3674,8.0,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,58.976152,-149.924347,2013-07-15T06:50:20,2013,7,15,13,HumanObservation,GOALS Vessel Surveys June - July 2013,Fin whale,217,7.73,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,58.616547,-146.119207,2013-07-13T17:48:13,2013,7,13,2,HumanObservation,GOALS Vessel Surveys June - July 2013,Fin whale,4707,8.03,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,56.758355,-136.977333,2013-06-23T18:28:08,2013,6,23,1,HumanObservation,GOALS Vessel Surveys June - July 2013,Fin whale,2168,9.07,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.086167,-136.617667,2015-09-17T13:06:36,2015,9,17,2,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Fin whale,1999,9.06,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,51.5,-134.5,2006-12-19T00:00:00,2006,12,19,1,HumanObservation,TOPP Summary of SSM-derived Telemetry,Fin whale,3227,9.87,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,54.65,-133.966667,2004-08-25T19:41:00,2004,8,25,2,HumanObservation,Lamont-Doherty/LGL/NSF cruises,Fin whale,227,9.36,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,55.5,-143.5,2007-01-20T00:00:00,2007,1,20,1,HumanObservation,TOPP Summary of SSM-derived Telemetry,Fin whale,3853,7.74,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,58.014318,-145.153275,2013-07-01T15:14:49,2013,7,1,1,HumanObservation,GOALS Vessel Surveys June - July 2013,Fin whale,3899,7.88,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,58.641,-148.969167,2015-08-21T10:59:01,2015,8,21,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Fin whale,124,7.83,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,53.2493,-148.2499,2009-07-13,2009,7,13,,HumanObservation,EC-CWS Eastern Canada Seabirds at Sea,Fin Whale,4258,7.1,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,57.9496,-152.5649,2011-08-29T13:28,2011,8,29,1,HumanObservation,Happywhale - Fin whale in North Pacific Ocean,Fin whale,100,6.6,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,56.8827,-162.1787,2000-06-13T21:59:16,2000,6,13,1,HumanObservation,NMML Bering Sea Cetacean Survey 2000,Fin whale,64,3.88,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,53.6245,-151.945167,2015-08-13T15:56:28,2015,8,13,1,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Fin whale,4386,6.87,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,59.1925,-147.1915,2015-08-23T07:36:13,2015,8,23,2,HumanObservation,"SWFSC Marine Mammal Survey, CLAWS 2015, Cruise 1648",Fin whale,559,8.25,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,56.1427,-169.4392,2002-06-25T20:07:06,2002,6,25,6,HumanObservation,NMML 2002-2010 Bering Sea Shelf Cetacean Survey,Fin whale,531,5.05,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,58.918232,-147.086632,2013-07-13T21:35:43,2013,7,13,1,HumanObservation,GOALS Vessel Surveys June - July 2013,Fin whale,2402,8.21,Fin Whale,Balaenoptera physalus
Balaenoptera physalus,59.237932,-147.120797,2013-07-13T11:28:14,2013,7,13,2,HumanObservation,GOALS Vessel Surveys June - July 2013,Fin whale,239,8.26,Fin Whale,Balaenoptera physalus
