scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,country,bathymetry,sst,species_common,species_scientific
Physeter macrocephalus,32.389287,-120.01971,2002-01-29T14:46:54,2002,1,29,5,HumanObservation,"CalCOFI and NMFS Seabird and Marine Mammal Observation Data, 1987-2006",Sperm whale,,1406,15.58,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,31.96841,-120.912909,2006-04-06T13:07,2006,4,6,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Sperm whale,,3650,15.88,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.509265,-121.037349,2007-04-11T15:12,2007,4,11,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - off effort,Sperm whale,,3064,14.79,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,34.220065,-121.010109,2004-07-24T08:34,2004,7,24,2,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - on effort,Sperm whale,,996,14.35,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,33.271432,-124.247378,2005-07-14T10:29,2005,7,14,1,HumanObservation,CalCOFI marine mammal surveys 2004-2008 - off effort,Sperm whale,,4465,15.85,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,40.163833,-125.157833,2018-08-08T08:37:52,2018,8,8,8,HumanObservation,"SWFSC Marine Mammal Survey, CCES 2018, Cruise 1651",Sperm whale,,1406,12.52,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,38.576333,-129.238167,2008-09-24T13:22:18,2008,9,24,2,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2008, Cruise 1635",Sperm whale,,4776,14.9,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,41.310333,-127.565167,2018-10-18T12:10:39,2018,10,18,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,,2539,13.4,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,40.021833,-129.503833,2005-08-28T13:12:52,2005,8,28,1,HumanObservation,"SWFSC Marine Mammal Survey, CSCAPE 2005, Cruise 1628",Sperm whale,,4652,14.48,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,31.732333,-122.368,2001-11-20T11:27:52,2001,11,20,4,HumanObservation,"SWFSC Marine Mammal Survey, ORCAWALE 2001, Cruise 1619",Sperm whale,,3914,16.27,Sperm Whale,Physeter macrocephalus
