scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,country,bathymetry,sst,species_common,species_scientific
Balaenoptera acutorostrata,33.5565,-117.9182,2016-08-27T16:48,2016,8,27,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,341,17.39,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,35.561,-122.234,2018-08-29T08:14:28,2018,8,29,1,HumanObservation,"SWFSC Marine Mammal Survey, CCES 2018, Cruise 1651",Common minke whale,,3156,13.96,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.580017,-118.141479,2024-03-26T17:16:30,2024,3,26,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,75,17.26,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,34.828333,-121.609,2005-11-12T14:38:19,2005,11,12,1,HumanObservation,"SWFSC Marine Mammal Survey, CSCAPE 2005, Cruise 1628",Common minke whale,,1071,14.29,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.323833,-118.715333,2009-11-18T07:35:00,2009,11,18,1,HumanObservation,"SWFSC Marine Mammal Survey, Delphinus 2009, Cruise 1640",Common minke whale,,1328,16.99,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.489528,-118.267822,2017-08-05T17:04:11,2017,8,5,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,834,17.27,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,32.9575,-117.593667,2005-09-30T16:30:08,2005,9,30,1,HumanObservation,"SWFSC Marine Mammal Survey, CSCAPE 2005, Cruise 1628",Common minke whale,,887,17.73,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.6235,-118.3408,2022-03-06T14:42,2022,3,6,1,HumanObservation,Cuvier's Beaked Whale and Fin Whale Surveys at the Southern California Offshore Anti-submarine Warfare Range (SOAR),Common minke whale,,602,17.1,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,45.216,-125.519,2014-08-31T07:08:34,2014,8,31,1,HumanObservation,"SWFSC Marine Mammal Survey, CalCurCEAS 2014, Cruise 1647",Common minke whale,,2572,12.74,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,48.283157,-123.081256,2023-07-03T14:58:37,2023,7,3,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,89,9.43,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.538,-117.8764,2016-10-07T05:09,2016,10,7,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,429,17.41,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,33.455162,-118.072815,2017-08-03T13:37:15,2017,8,3,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,547,17.39,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,48.322775,-122.962597,2023-06-11T11:38,2023,6,11,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,124,9.45,Minke Whale,Balaenoptera acutorostrata
Balaenoptera acutorostrata,36.793995,-121.846762,2022-10-31T10:01:19,2022,10,31,1,HumanObservation,Happywhale - Common minke whale in North Pacific Ocean,Common minke whale,,260,12.78,Minke Whale,Balaenoptera acutorostrata
