scientificName,latitude,longitude,eventDate,date_year,month,day,individualCount,basisOfRecord,datasetName,vernacularName,bathymetry,sst,species_common,species_scientific
Physeter macrocephalus,20.532,-154.2065,2020-02-09T17:08:09,2020,2,9,1,HumanObservation,"PIFSC, Cetacean Survey, WHICEAS 2020, Cruise 2001, NOAA Pacific Islands Fisheries Science Center",Sperm whale,5423,24.99,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.53663,-156.08281,2014-12-02T09:49,2014,12,2,9,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2082,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.77363,-156.15927,2010-07-21T10:36:00,2010,7,21,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys July-August 2010,Sperm whale,2420,25.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.53291,-156.0596,2006-12-07T08:22:00,2006,12,7,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys November-December 2006,Sperm whale,2040,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.43853,-156.29559,2010-12-08T13:52:00,2010,12,8,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys December 2010,Sperm whale,4169,25.61,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,21.492,-156.36233,2020-02-25T14:21:01,2020,2,25,21,HumanObservation,"PIFSC, Cetacean Survey, WHICEAS 2020, Cruise 2001, NOAA Pacific Islands Fisheries Science Center",Sperm whale,5594,25.0,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.52222,-156.06966,2014-11-30T09:16,2014,11,30,14,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,2084,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.53833,-153.33783,2020-02-07T17:00:01,2020,2,7,1,HumanObservation,"PIFSC, Cetacean Survey, WHICEAS 2020, Cruise 2001, NOAA Pacific Islands Fisheries Science Center",Sperm whale,5135,25.01,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,21.37833,-159.00483,2010-09-07T17:06:58,2010,9,7,1,HumanObservation,"PIFSC & SWFSC, Cetacean Survey, HICEAS 2010, Cruise 1642, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4638,25.66,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.55608,-156.11411,2008-05-08T10:07:00,2008,5,8,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys April-May 2008,Sperm whale,2544,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.22433,-160.0905,2016-07-07T12:12:45,2016,7,7,8,HumanObservation,"PIFSC, Cetacean Survey, HITEC 2016, Cruise 1604, NOAA Pacific Islands Fisheries Science Center",Sperm whale,2687,25.46,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.56517,-156.41826,2008-07-09T13:52:00,2008,7,9,,HumanObservation,HRC CRC Small Vessel-Based Monitoring Surveys June-July 2008,Sperm whale,4645,25.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.64404,-156.34154,2006-12-06T10:06,2006,12,6,4,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,4660,25.6,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.543313,-156.120511,2022-12-31T15:11:31,2022,12,31,1,HumanObservation,Happywhale - Sperm whale in North Pacific Ocean,Sperm whale,2705,25.62,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,22.02655,-159.895277,2012-01-15T17:51:21,2012,1,15,1,HumanObservation,"HRC Vessel Survey off Kaua'i, January 2012",Sperm whale,755,25.45,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,21.846733,-158.915567,2011-02-26T12:24:22,2011,2,26,2,HumanObservation,HRC SCC Aerial Shoreline Surveys February 2011,Sperm whale,2559,25.39,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,23.98383,-156.69133,2010-09-16T15:54:28,2010,9,16,6,HumanObservation,"PIFSC & SWFSC, Cetacean Survey, HICEAS 2010, Cruise 1641, NOAA Pacific Islands Fisheries Science Center",Sperm whale,4299,24.67,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,19.77052,-156.239,2009-12-21T17:11,2009,12,21,6,HumanObservation,Cascadia Research Collective Hawaii OASIS project whale and dolphin sightings,Sperm whale,3366,25.59,Sperm Whale,Physeter macrocephalus
Physeter macrocephalus,21.861383,-158.9106,2011-02-26T12:26:04,2011,2,26,3,HumanObservation,HRC SCC Aerial Shoreline Surveys February 2011,Sperm whale,2479,25.39,Sperm Whale,Physeter macrocephalus
